Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.027079,2.027079,0.0,0.0,libjpeg-183418da.so.9.4.0,jpeg_idct_16x16,[Unknown],0x29470
func@0x15060,1.191986,1.191986,0.0,0.0,libjpeg-183418da.so.9.4.0,func@0x15060,[Unknown],0x15060
__memmove_avx_unaligned_erms,0.955998,0.955998,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
jpeg_idct_islow,0.630954,0.630954,0.0,0.0,libjpeg-183418da.so.9.4.0,jpeg_idct_islow,[Unknown],0x25cb0
ImagingUnpackRGB,0.407920,0.407920,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x699c0
__libc_calloc,0.399369,0.399369,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb10
func@0x13fb0,0.140021,0.140021,0.0,0.0,libjpeg-183418da.so.9.4.0,func@0x13fb0,[Unknown],0x13fb0
func@0x17770,0.135991,0.135991,0.0,0.0,libjpeg-183418da.so.9.4.0,func@0x17770,[Unknown],0x17770
func@0x16210,0.048000,0.048000,0.0,0.0,libjpeg-183418da.so.9.4.0,func@0x16210,[Unknown],0x16210
__memset_avx2_unaligned_erms,0.028002,0.028002,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18bd90
method_vectorcall_FASTCALL,0.012016,0.012016,0.0,0.0,python3.8,method_vectorcall_FASTCALL,descrobject.c,0x438a95
func@0x40cd0,0.012006,0.012006,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,func@0x40cd0,[Unknown],0x40cd0
_int_free,0.010000,0.010000,0.0,0.0,libc.so.6,_int_free,malloc.c,0x96840
