Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
jpeg_idct_16x16,2.023294,2.023294,0.0,0.0,libjpeg.so.9,jpeg_idct_16x16,[Unknown],0x2b2f0
__memmove_avx_unaligned_erms,1.177998,1.177998,0.0,0.0,libc.so.6,__memmove_avx_unaligned_erms,memmove-vec-unaligned-erms.S,0x18b910
ycc_rgb_convert,1.138397,1.138397,0.0,0.0,libjpeg.so.9,ycc_rgb_convert,[Unknown],0x15d10
jpeg_idct_islow,0.657631,0.657631,0.0,0.0,libjpeg.so.9,jpeg_idct_islow,[Unknown],0x27860
__libc_calloc,0.395136,0.395136,0.0,0.0,libc.so.6,__libc_calloc,malloc.c,0x9bb10
ImagingUnpackRGB,0.392657,0.392657,0.0,0.0,_imaging.cpython-38-x86_64-linux-gnu.so,ImagingUnpackRGB,[Unknown],0x61ac0
decompress_onepass,0.171995,0.171995,0.0,0.0,libjpeg.so.9,decompress_onepass,[Unknown],0x15360
decode_mcu,0.080000,0.080000,0.0,0.0,libjpeg.so.9,decode_mcu,[Unknown],0x18840
__memset_avx2_unaligned_erms,0.031998,0.031998,0.0,0.0,libc.so.6,__memset_avx2_unaligned_erms,memset-vec-unaligned-erms.S,0x18bd90
jpeg_fill_bit_buffer,0.023990,0.023990,0.0,0.0,libjpeg.so.9,jpeg_fill_bit_buffer,[Unknown],0x17250
method_vectorcall_FASTCALL,0.012009,0.012009,0.0,0.0,python3.8,method_vectorcall_FASTCALL,descrobject.c,0x438a95
